"city","year","pollutant","category","days"
"Seoul",2019,"o3","Moderate",25
"Seoul",2019,"o3","Unhealthy for Sensitive Groups",2
"Seoul",2019,"o3","Unhealthy",1
"Seoul",2019,"pm10","Good",260
"Seoul",2019,"pm10","Moderate",98
"Seoul",2019,"pm10","Unhealthy for Sensitive Groups",5
"Seoul",2019,"pm25","Good",74
"Seoul",2019,"pm25","Moderate",195
"Seoul",2019,"pm25","Unhealthy for Sensitive Groups",69
"Seoul",2019,"pm25","Unhealthy",22
"Seoul",2019,"pm25","Very Unhealthy",3
"Seoul",2019,"so2","Good",363
"Seoul",2020,"co","Good",364
"Seoul",2020,"no2","Good",339
"Seoul",2020,"no2","Moderate",25
"Seoul",2020,"o3","Good",339
"Seoul",2020,"o3","Moderate",24
"Seoul",2020,"o3","Unhealthy for Sensitive Groups",1
"Seoul",2020,"pm10","Good",279
"Seoul",2020,"pm10","Moderate",85
"Seoul",2020,"pm25","Good",93
"Seoul",2020,"pm25","Moderate",200
"Seoul",2020,"pm25","Unhealthy for Sensitive Groups",64
"Seoul",2020,"pm25","Unhealthy",6
"Seoul",2020,"so2","Good",364
"Seoul",2021,"co","Good",365
"Seoul",2021,"no2","Good",343
"Seoul",2021,"no2","Moderate",22
"Seoul",2021,"o3","Good",325
"Seoul",2021,"o3","Moderate",39
"Seoul",2021,"o3","Unhealthy for Sensitive Groups",1
"Seoul",2021,"pm10","Good",292
"Seoul",2021,"pm10","Moderate",68
"Seoul",2021,"pm10","Unhealthy for Sensitive Groups",2
"Seoul",2021,"pm10","Very Unhealthy",1
"Seoul",2021,"pm10","Hazardous",2
"Seoul",2021,"pm25","Good",107
"Seoul",2021,"pm25","Moderate",194
"Seoul",2021,"pm25","Unhealthy for Sensitive Groups",52
"Seoul",2021,"pm25","Unhealthy",12
"Seoul",2021,"so2","Good",365
"Seoul",2022,"co","Good",365
"Seoul",2022,"no2","Good",354
"Seoul",2022,"no2","Moderate",11
"Seoul",2022,"o3","Good",317
"Seoul",2022,"o3","Moderate",48
"Seoul",2022,"pm10","Good",307
"Seoul",2022,"pm10","Moderate",56
"Seoul",2022,"pm10","Unhealthy for Sensitive Groups",2
"Seoul",2022,"pm25","Good",113
"Seoul",2022,"pm25","Moderate",191
"Seoul",2022,"pm25","Unhealthy for Sensitive Groups",56
"Seoul",2022,"pm25","Unhealthy",5
"Seoul",2022,"so2","Good",365
"Seoul",2023,"co","Good",365
"Seoul",2023,"no2","Good",355
"Seoul",2023,"no2","Moderate",10
"Seoul",2023,"o3","Good",292
"Seoul",2023,"o3","Moderate",70
"Seoul",2023,"o3","Unhealthy for Sensitive Groups",3
"Seoul",2023,"pm10","Good",286
"Seoul",2023,"pm10","Moderate",76
